1	script	undefined
1	warp	undefined
1	warp2	undefined
1	shop	undefined
1	cashshop	undefined
1	OnPCDieEvent	Executed when PC becomes dead.
1	OnPCKillEvent	Executed when PC kills another PC. Some skills may not invoke this.
1	OnNPCKillEvent	undefined
1	OnPCLoginEvent	Executed when PC logs in
1	OnPCLogoutEvent	Executed when PC logs out
1	OnPCLoadMapEvent	Executed when PC loads specified map (only if map 'loadevent' mapflag is specified)
1	OnPCLoadNPCMapEvent	Executed when PC loads NPC map
1	OnPCBaseLvUpEvent	Executed on base level up
1	OnPCJobLvUpEvent	Executed on Job level up
1	OnTouch_	Executed when PC touches NPC area
1	OnTouch	Executed when PC touches NPC area but only if NPC is not busy with another PC
1	OnTouchNPC	When mob comes into OnTouch area
1	OnInit	When script loads/reloads
1	OnInstanceInit	(need IIF_INITINSTANCENPC)
0	warpguild	s arg1, i arg2, i arg3, i arg4	warpguild(${1:s_arg1}, ${2:i_arg2}, ${3:i_arg3}, ${4:i_arg4})$0
0	setlook	i arg1, i arg2, ? arg3	setlook(${1:i_arg1}, ${2:i_arg2}, ${3:?_arg3})$0
0	changelook	i arg1, i arg2, ? arg3	changelook(${1:i_arg1}, ${2:i_arg2}, ${3:?_arg3})$0
0	set	r arg1, v arg2, ? arg3	set(${1:r_arg1}, ${2:v_arg2}, ${3:?_arg3})$0
0	setr	r arg1, v arg2, ? arg3, ? arg4	setr(${1:r_arg1}, ${2:v_arg2}, ${3:?_arg3}, ${4:?_arg4})$0
0	setarray	r arg1, v arg2, * arg3	setarray(${1:r_arg1}, ${2:v_arg2}, ${3:*_arg3})$0
0	cleararray	r arg1, v arg2, i arg3	cleararray(${1:r_arg1}, ${2:v_arg2}, ${3:i_arg3})$0
0	copyarray	r arg1, r arg2, i arg3	copyarray(${1:r_arg1}, ${2:r_arg2}, ${3:i_arg3})$0
0	getarraysize	r arg1	getarraysize(${1:r_arg1})$0
0	deletearray	r arg1, ? arg2	deletearray(${1:r_arg1}, ${2:?_arg2})$0
0	getelementofarray	r arg1, i arg2	getelementofarray(${1:r_arg1}, ${2:i_arg2})$0
0	inarray	r arg1, v arg2	inarray(${1:r_arg1}, ${2:v_arg2})$0
0	countinarray	r arg1, r arg2	countinarray(${1:r_arg1}, ${2:r_arg2})$0
0	getitem	v arg1, i arg2, ? arg3	getitem(${1:v_arg1}, ${2:i_arg2}, ${3:?_arg3})$0
0	rentitem	v arg1, i arg2, ? arg3	rentitem(${1:v_arg1}, ${2:i_arg2}, ${3:?_arg3})$0
0	rentitem2	v arg1, i arg2, i arg3, i arg4, i arg5, i arg6, i arg7, i arg8, i arg9, ? arg10	rentitem2(${1:v_arg1}, ${2:i_arg2}, ${3:i_arg3}, ${4:i_arg4}, ${5:i_arg5}, ${6:i_arg6}, ${7:i_arg7}, ${8:i_arg8}, ${9:i_arg9}, ${10:?_arg10})$0
0	getitem2	v arg1, i arg2, i arg3, i arg4, i arg5, i arg6, i arg7, i arg8, i arg9, ? arg10	getitem2(${1:v_arg1}, ${2:i_arg2}, ${3:i_arg3}, ${4:i_arg4}, ${5:i_arg5}, ${6:i_arg6}, ${7:i_arg7}, ${8:i_arg8}, ${9:i_arg9}, ${10:?_arg10})$0
0	getnameditem	v arg1, v arg2	getnameditem(${1:v_arg1}, ${2:v_arg2})$0
0	groupranditem	i arg1, ? arg2	groupranditem(${1:i_arg1}, ${2:?_arg2})$0
0	makeitem	v arg1, i arg2, s arg3, i arg4, i arg5	makeitem(${1:v_arg1}, ${2:i_arg2}, ${3:s_arg3}, ${4:i_arg4}, ${5:i_arg5})$0
0	makeitem2	v arg1, i arg2, s arg3, i arg4, i arg5, i arg6, i arg7, i arg8, i arg9, i arg10, i arg11, i arg12	makeitem2(${1:v_arg1}, ${2:i_arg2}, ${3:s_arg3}, ${4:i_arg4}, ${5:i_arg5}, ${6:i_arg6}, ${7:i_arg7}, ${8:i_arg8}, ${9:i_arg9}, ${10:i_arg10}, ${11:i_arg11}, ${12:i_arg12})$0
0	delitem	v arg1, i arg2, ? arg3	delitem(${1:v_arg1}, ${2:i_arg2}, ${3:?_arg3})$0
0	storagedelitem	v arg1, i arg2, ? arg3	storagedelitem(${1:v_arg1}, ${2:i_arg2}, ${3:?_arg3})$0
0	guildstoragedelitem	v arg1, i arg2, ? arg3	guildstoragedelitem(${1:v_arg1}, ${2:i_arg2}, ${3:?_arg3})$0
0	cartdelitem	v arg1, i arg2, ? arg3	cartdelitem(${1:v_arg1}, ${2:i_arg2}, ${3:?_arg3})$0
0	delitem2	v arg1, i arg2, i arg3, i arg4, i arg5, i arg6, i arg7, i arg8, i arg9, ? arg10	delitem2(${1:v_arg1}, ${2:i_arg2}, ${3:i_arg3}, ${4:i_arg4}, ${5:i_arg5}, ${6:i_arg6}, ${7:i_arg7}, ${8:i_arg8}, ${9:i_arg9}, ${10:?_arg10})$0
0	storagedelitem2	v arg1, i arg2, i arg3, i arg4, i arg5, i arg6, i arg7, i arg8, i arg9, ? arg10	storagedelitem2(${1:v_arg1}, ${2:i_arg2}, ${3:i_arg3}, ${4:i_arg4}, ${5:i_arg5}, ${6:i_arg6}, ${7:i_arg7}, ${8:i_arg8}, ${9:i_arg9}, ${10:?_arg10})$0
0	guildstoragedelitem2	v arg1, i arg2, i arg3, i arg4, i arg5, i arg6, i arg7, i arg8, i arg9, ? arg10	guildstoragedelitem2(${1:v_arg1}, ${2:i_arg2}, ${3:i_arg3}, ${4:i_arg4}, ${5:i_arg5}, ${6:i_arg6}, ${7:i_arg7}, ${8:i_arg8}, ${9:i_arg9}, ${10:?_arg10})$0
0	cartdelitem2	v arg1, i arg2, i arg3, i arg4, i arg5, i arg6, i arg7, i arg8, i arg9, ? arg10	cartdelitem2(${1:v_arg1}, ${2:i_arg2}, ${3:i_arg3}, ${4:i_arg4}, ${5:i_arg5}, ${6:i_arg6}, ${7:i_arg7}, ${8:i_arg8}, ${9:i_arg9}, ${10:?_arg10})$0
0	enable_items
0	disable_items
0	cutin	s arg1, i arg2	cutin(${1:s_arg1}, ${2:i_arg2})$0
0	viewpoint	i arg1, i arg2, i arg3, i arg4, i arg5, ? arg6	viewpoint(${1:i_arg1}, ${2:i_arg2}, ${3:i_arg3}, ${4:i_arg4}, ${5:i_arg5}, ${6:?_arg6})$0
0	heal	i arg1, i arg2, ? arg3	heal(${1:i_arg1}, ${2:i_arg2}, ${3:?_arg3})$0
0	itemheal	i arg1, i arg2, ? arg3	itemheal(${1:i_arg1}, ${2:i_arg2}, ${3:?_arg3})$0
0	percentheal	i arg1, i arg2, ? arg3	percentheal(${1:i_arg1}, ${2:i_arg2}, ${3:?_arg3})$0
0	rand	i arg1, ? arg2	rand(${1:i_arg1}, ${2:?_arg2})$0
0	countitem	v arg1, ? arg2	countitem(${1:v_arg1}, ${2:?_arg2})$0
0	storagecountitem	v arg1, ? arg2	storagecountitem(${1:v_arg1}, ${2:?_arg2})$0
0	guildstoragecountitem	v arg1, ? arg2	guildstoragecountitem(${1:v_arg1}, ${2:?_arg2})$0
0	cartcountitem	v arg1, ? arg2	cartcountitem(${1:v_arg1}, ${2:?_arg2})$0
0	countitem2	v arg1, i arg2, i arg3, i arg4, i arg5, i arg6, i arg7, i arg8, ? arg9	countitem2(${1:v_arg1}, ${2:i_arg2}, ${3:i_arg3}, ${4:i_arg4}, ${5:i_arg5}, ${6:i_arg6}, ${7:i_arg7}, ${8:i_arg8}, ${9:?_arg9})$0
0	storagecountitem2	v arg1, i arg2, i arg3, i arg4, i arg5, i arg6, i arg7, i arg8, ? arg9	storagecountitem2(${1:v_arg1}, ${2:i_arg2}, ${3:i_arg3}, ${4:i_arg4}, ${5:i_arg5}, ${6:i_arg6}, ${7:i_arg7}, ${8:i_arg8}, ${9:?_arg9})$0
0	guildstoragecountitem2	v arg1, i arg2, i arg3, i arg4, i arg5, i arg6, i arg7, i arg8, ? arg9	guildstoragecountitem2(${1:v_arg1}, ${2:i_arg2}, ${3:i_arg3}, ${4:i_arg4}, ${5:i_arg5}, ${6:i_arg6}, ${7:i_arg7}, ${8:i_arg8}, ${9:?_arg9})$0
0	cartcountitem2	v arg1, i arg2, i arg3, i arg4, i arg5, i arg6, i arg7, i arg8, ? arg9	cartcountitem2(${1:v_arg1}, ${2:i_arg2}, ${3:i_arg3}, ${4:i_arg4}, ${5:i_arg5}, ${6:i_arg6}, ${7:i_arg7}, ${8:i_arg8}, ${9:?_arg9})$0
0	checkweight	v arg1, i arg2, * arg3	checkweight(${1:v_arg1}, ${2:i_arg2}, ${3:*_arg3})$0
0	checkweight2	r arg1, r arg2	checkweight2(${1:r_arg1}, ${2:r_arg2})$0
0	readparam	i arg1, ? arg2	readparam(${1:i_arg1}, ${2:?_arg2})$0
0	getcharid	i arg1, ? arg2	getcharid(${1:i_arg1}, ${2:?_arg2})$0
0	getnpcid	i arg1, ? arg2	getnpcid(${1:i_arg1}, ${2:?_arg2})$0
0	getpartyname	i arg1	getpartyname(${1:i_arg1})$0
0	getpartymember	i arg1, ? arg2, ? arg3	getpartymember(${1:i_arg1}, ${2:?_arg2}, ${3:?_arg3})$0
0	getpartyleader	i arg1, ? arg2	getpartyleader(${1:i_arg1}, ${2:?_arg2})$0
0	getguildname	i arg1	getguildname(${1:i_arg1})$0
0	getguildmaster	i arg1	getguildmaster(${1:i_arg1})$0
0	getguildmasterid	i arg1	getguildmasterid(${1:i_arg1})$0
0	strcharinfo	i arg1, ? arg2	strcharinfo(${1:i_arg1}, ${2:?_arg2})$0
0	strnpcinfo	i arg1	strnpcinfo(${1:i_arg1})$0
0	getequipid	? arg1, ? arg2	getequipid(${1:?_arg1}, ${2:?_arg2})$0
0	getequipuniqueid	i arg1, ? arg2	getequipuniqueid(${1:i_arg1}, ${2:?_arg2})$0
0	getequipname	i arg1, ? arg2	getequipname(${1:i_arg1}, ${2:?_arg2})$0
0	getbrokenid	i arg1, ? arg2	getbrokenid(${1:i_arg1}, ${2:?_arg2})$0
0	repair	i arg1, ? arg2	repair(${1:i_arg1}, ${2:?_arg2})$0
0	repairall	? arg1	repairall(${1:?_arg1})$0
0	getequipisequiped	i arg1, ? arg2	getequipisequiped(${1:i_arg1}, ${2:?_arg2})$0
0	getequipisenableref	i arg1, ? arg2	getequipisenableref(${1:i_arg1}, ${2:?_arg2})$0
0	getequiprefinerycnt	i arg1, ? arg2	getequiprefinerycnt(${1:i_arg1}, ${2:?_arg2})$0
0	getequipweaponlv	i arg1, ? arg2	getequipweaponlv(${1:i_arg1}, ${2:?_arg2})$0
0	getequippercentrefinery	i arg1, ? arg2	getequippercentrefinery(${1:i_arg1}, ${2:?_arg2})$0
0	successrefitem	i arg1, ? arg2, ? arg3	successrefitem(${1:i_arg1}, ${2:?_arg2}, ${3:?_arg3})$0
0	failedrefitem	i arg1, ? arg2	failedrefitem(${1:i_arg1}, ${2:?_arg2})$0
0	downrefitem	i arg1, ? arg2, ? arg3	downrefitem(${1:i_arg1}, ${2:?_arg2}, ${3:?_arg3})$0
0	statusup	i arg1, ? arg2	statusup(${1:i_arg1}, ${2:?_arg2})$0
0	statusup2	i arg1, i arg2, ? arg3	statusup2(${1:i_arg1}, ${2:i_arg2}, ${3:?_arg3})$0
0	bonus	i arg1, ? arg2	bonus(${1:i_arg1}, ${2:?_arg2})$0
0	bonus2	i arg1, v arg2, i arg3	bonus2(${1:i_arg1}, ${2:v_arg2}, ${3:i_arg3})$0
0	bonus3	i arg1, v arg2, i arg3, i arg4	bonus3(${1:i_arg1}, ${2:v_arg2}, ${3:i_arg3}, ${4:i_arg4})$0
0	bonus4	i arg1, v arg2, v arg3, i arg4, i arg5	bonus4(${1:i_arg1}, ${2:v_arg2}, ${3:v_arg3}, ${4:i_arg4}, ${5:i_arg5})$0
0	bonus5	i arg1, v arg2, v arg3, i arg4, i arg5, i arg6	bonus5(${1:i_arg1}, ${2:v_arg2}, ${3:v_arg3}, ${4:i_arg4}, ${5:i_arg5}, ${6:i_arg6})$0
0	autobonus	s arg1, i arg2, i arg3, ? arg4, ? arg5	autobonus(${1:s_arg1}, ${2:i_arg2}, ${3:i_arg3}, ${4:?_arg4}, ${5:?_arg5})$0
0	autobonus2	s arg1, i arg2, i arg3, ? arg4, ? arg5	autobonus2(${1:s_arg1}, ${2:i_arg2}, ${3:i_arg3}, ${4:?_arg4}, ${5:?_arg5})$0
0	autobonus3	s arg1, i arg2, i arg3, v arg4, ? arg5	autobonus3(${1:s_arg1}, ${2:i_arg2}, ${3:i_arg3}, ${4:v_arg4}, ${5:?_arg5})$0
0	skill	v arg1, i arg2, ? arg3	skill(${1:v_arg1}, ${2:i_arg2}, ${3:?_arg3})$0
0	addtoskill	v arg1, i arg2, ? arg3	addtoskill(${1:v_arg1}, ${2:i_arg2}, ${3:?_arg3})$0
0	guildskill	v arg1, i arg2	guildskill(${1:v_arg1}, ${2:i_arg2})$0
0	getskilllv	v arg1	getskilllv(${1:v_arg1})$0
0	getgdskilllv	i arg1, v arg2	getgdskilllv(${1:i_arg1}, ${2:v_arg2})$0
0	basicskillcheck
0	getgmlevel	? arg1	getgmlevel(${1:?_arg1})$0
0	getgroupid	? arg1	getgroupid(${1:?_arg1})$0
0	end
0	checkoption	i arg1, ? arg2	checkoption(${1:i_arg1}, ${2:?_arg2})$0
0	setoption	i arg1, ? arg2, ? arg3	setoption(${1:i_arg1}, ${2:?_arg2}, ${3:?_arg3})$0
0	setcart	? arg1, ? arg2	setcart(${1:?_arg1}, ${2:?_arg2})$0
0	checkcart	? arg1	checkcart(${1:?_arg1})$0
0	setfalcon	? arg1, ? arg2	setfalcon(${1:?_arg1}, ${2:?_arg2})$0
0	checkfalcon	? arg1	checkfalcon(${1:?_arg1})$0
0	setriding	? arg1, ? arg2	setriding(${1:?_arg1}, ${2:?_arg2})$0
0	checkriding	? arg1	checkriding(${1:?_arg1})$0
0	checkwug	? arg1	checkwug(${1:?_arg1})$0
0	checkmadogear	? arg1	checkmadogear(${1:?_arg1})$0
0	setmadogear	? arg1, ? arg2	setmadogear(${1:?_arg1}, ${2:?_arg2})$0
0	save	s arg1, i arg2, i arg3, ? arg4, ? arg5, ? arg6	save(${1:s_arg1}, ${2:i_arg2}, ${3:i_arg3}, ${4:?_arg4}, ${5:?_arg5}, ${6:?_arg6})$0
0	savepoint	s arg1, i arg2, i arg3, ? arg4, ? arg5, ? arg6	savepoint(${1:s_arg1}, ${2:i_arg2}, ${3:i_arg3}, ${4:?_arg4}, ${5:?_arg5}, ${6:?_arg6})$0
0	gettimetick	i arg1	gettimetick(${1:i_arg1})$0
0	gettime	i arg1	gettime(${1:i_arg1})$0
0	gettimestr	s arg1, i arg2, ? arg3	gettimestr(${1:s_arg1}, ${2:i_arg2}, ${3:?_arg3})$0
0	openstorage
0	guildopenstorage
0	guildopenstorage_log	? arg1	guildopenstorage_log(${1:?_arg1})$0
0	guild_has_permission	i arg1, ? arg2	guild_has_permission(${1:i_arg1}, ${2:?_arg2})$0
0	itemskill	v arg1, i arg2, ? arg3	itemskill(${1:v_arg1}, ${2:i_arg2}, ${3:?_arg3})$0
0	produce	i arg1	produce(${1:i_arg1})$0
0	cooking	i arg1	cooking(${1:i_arg1})$0
0	monster	s arg1, i arg2, i arg3, s arg4, i arg5, i arg6, ? arg7, ? arg8, ? arg9	monster(${1:s_arg1}, ${2:i_arg2}, ${3:i_arg3}, ${4:s_arg4}, ${5:i_arg5}, ${6:i_arg6}, ${7:?_arg7}, ${8:?_arg8}, ${9:?_arg9})$0
0	getmobdrops	i arg1	getmobdrops(${1:i_arg1})$0
0	areamonster	s arg1, i arg2, i arg3, i arg4, i arg5, s arg6, i arg7, i arg8, ? arg9, ? arg10, ? arg11	areamonster(${1:s_arg1}, ${2:i_arg2}, ${3:i_arg3}, ${4:i_arg4}, ${5:i_arg5}, ${6:s_arg6}, ${7:i_arg7}, ${8:i_arg8}, ${9:?_arg9}, ${10:?_arg10}, ${11:?_arg11})$0
0	killmonster	s arg1, s arg2, ? arg3	killmonster(${1:s_arg1}, ${2:s_arg2}, ${3:?_arg3})$0
0	killmonsterall	s arg1, ? arg2	killmonsterall(${1:s_arg1}, ${2:?_arg2})$0
0	clone	s arg1, i arg2, i arg3, s arg4, i arg5, ? arg6, ? arg7, ? arg8, ? arg9	clone(${1:s_arg1}, ${2:i_arg2}, ${3:i_arg3}, ${4:s_arg4}, ${5:i_arg5}, ${6:?_arg6}, ${7:?_arg7}, ${8:?_arg8}, ${9:?_arg9})$0
0	doevent	s arg1	doevent(${1:s_arg1})$0
0	donpcevent	s arg1	donpcevent(${1:s_arg1})$0
0	cmdothernpc	s arg1, s arg2	cmdothernpc(${1:s_arg1}, ${2:s_arg2})$0
0	addtimer	i arg1, s arg2	addtimer(${1:i_arg1}, ${2:s_arg2})$0
0	deltimer	s arg1	deltimer(${1:s_arg1})$0
0	addtimercount	i arg1, s arg2	addtimercount(${1:i_arg1}, ${2:s_arg2})$0
0	initnpctimer	? arg1, ? arg2	initnpctimer(${1:?_arg1}, ${2:?_arg2})$0
0	stopnpctimer	? arg1, ? arg2	stopnpctimer(${1:?_arg1}, ${2:?_arg2})$0
0	startnpctimer	? arg1, ? arg2	startnpctimer(${1:?_arg1}, ${2:?_arg2})$0
0	setnpctimer	i arg1, ? arg2	setnpctimer(${1:i_arg1}, ${2:?_arg2})$0
0	getnpctimer	i arg1, ? arg2	getnpctimer(${1:i_arg1}, ${2:?_arg2})$0
0	attachnpctimer	? arg1	attachnpctimer(${1:?_arg1})$0
0	detachnpctimer	? arg1	detachnpctimer(${1:?_arg1})$0
0	playerattached
0	announce	s arg1, i arg2, ? arg3, ? arg4, ? arg5, ? arg6, ? arg7	announce(${1:s_arg1}, ${2:i_arg2}, ${3:?_arg3}, ${4:?_arg4}, ${5:?_arg5}, ${6:?_arg6}, ${7:?_arg7})$0
0	mapannounce	s arg1, s arg2, i arg3, ? arg4, ? arg5, ? arg6, ? arg7, ? arg8	mapannounce(${1:s_arg1}, ${2:s_arg2}, ${3:i_arg3}, ${4:?_arg4}, ${5:?_arg5}, ${6:?_arg6}, ${7:?_arg7}, ${8:?_arg8})$0
0	areaannounce	s arg1, i arg2, i arg3, i arg4, i arg5, s arg6, i arg7, ? arg8, ? arg9, ? arg10, ? arg11, ? arg12	areaannounce(${1:s_arg1}, ${2:i_arg2}, ${3:i_arg3}, ${4:i_arg4}, ${5:i_arg5}, ${6:s_arg6}, ${7:i_arg7}, ${8:?_arg8}, ${9:?_arg9}, ${10:?_arg10}, ${11:?_arg11}, ${12:?_arg12})$0
0	getusers	i arg1	getusers(${1:i_arg1})$0
0	getmapguildusers	s arg1, i arg2	getmapguildusers(${1:s_arg1}, ${2:i_arg2})$0
0	getmapusers	s arg1	getmapusers(${1:s_arg1})$0
0	getareausers	s arg1, i arg2, i arg3, i arg4, i arg5	getareausers(${1:s_arg1}, ${2:i_arg2}, ${3:i_arg3}, ${4:i_arg4}, ${5:i_arg5})$0
0	getunits	i arg1, ? arg2	getunits(${1:i_arg1}, ${2:?_arg2})$0
0	getmapunits	i arg1, s arg2, ? arg3	getmapunits(${1:i_arg1}, ${2:s_arg2}, ${3:?_arg3})$0
0	getareaunits	i arg1, s arg2, i arg3, i arg4, i arg5, i arg6, ? arg7	getareaunits(${1:i_arg1}, ${2:s_arg2}, ${3:i_arg3}, ${4:i_arg4}, ${5:i_arg5}, ${6:i_arg6}, ${7:?_arg7})$0
0	getareadropitem	s arg1, i arg2, i arg3, i arg4, i arg5, v arg6	getareadropitem(${1:s_arg1}, ${2:i_arg2}, ${3:i_arg3}, ${4:i_arg4}, ${5:i_arg5}, ${6:v_arg6})$0
0	enablenpc	s arg1	enablenpc(${1:s_arg1})$0
0	disablenpc	s arg1	disablenpc(${1:s_arg1})$0
0	hideoffnpc	s arg1	hideoffnpc(${1:s_arg1})$0
0	hideonnpc	s arg1	hideonnpc(${1:s_arg1})$0
0	sc_start	i arg1, i arg2, i arg3, ? arg4, ? arg5, ? arg6	sc_start(${1:i_arg1}, ${2:i_arg2}, ${3:i_arg3}, ${4:?_arg4}, ${5:?_arg5}, ${6:?_arg6})$0
0	sc_start2	i arg1, i arg2, i arg3, i arg4, ? arg5, ? arg6, ? arg7	sc_start2(${1:i_arg1}, ${2:i_arg2}, ${3:i_arg3}, ${4:i_arg4}, ${5:?_arg5}, ${6:?_arg6}, ${7:?_arg7})$0
0	sc_start4	i arg1, i arg2, i arg3, i arg4, i arg5, i arg6, ? arg7, ? arg8, ? arg9	sc_start4(${1:i_arg1}, ${2:i_arg2}, ${3:i_arg3}, ${4:i_arg4}, ${5:i_arg5}, ${6:i_arg6}, ${7:?_arg7}, ${8:?_arg8}, ${9:?_arg9})$0
0	sc_end	i arg1, ? arg2	sc_end(${1:i_arg1}, ${2:?_arg2})$0
0	sc_end_class	? arg1, ? arg2	sc_end_class(${1:?_arg1}, ${2:?_arg2})$0
0	getstatus	i arg1, ? arg2, ? arg3	getstatus(${1:i_arg1}, ${2:?_arg2}, ${3:?_arg3})$0
0	getscrate	i arg1, i arg2, ? arg3	getscrate(${1:i_arg1}, ${2:i_arg2}, ${3:?_arg3})$0
0	debugmes	s arg1	debugmes(${1:s_arg1})$0
0	pet	i arg1	pet(${1:i_arg1})$0
0	bpet
0	catchpet	i arg1	catchpet(${1:i_arg1})$0
0	birthpet
0	resetlvl	i arg1, ? arg2	resetlvl(${1:i_arg1}, ${2:?_arg2})$0
0	resetstatus	? arg1	resetstatus(${1:?_arg1})$0
0	resetskill	? arg1	resetskill(${1:?_arg1})$0
0	skillpointcount	? arg1	skillpointcount(${1:?_arg1})$0
0	changebase	i arg1, ? arg2	changebase(${1:i_arg1}, ${2:?_arg2})$0
0	changesex	? arg1	changesex(${1:?_arg1})$0
0	changecharsex	? arg1	changecharsex(${1:?_arg1})$0
0	waitingroom	s arg1, i arg2, ? arg3, ? arg4, ? arg5, ? arg6, ? arg7	waitingroom(${1:s_arg1}, ${2:i_arg2}, ${3:?_arg3}, ${4:?_arg4}, ${5:?_arg5}, ${6:?_arg6}, ${7:?_arg7})$0
0	delwaitingroom	? arg1	delwaitingroom(${1:?_arg1})$0
0	waitingroomkick	s arg1, s arg2	waitingroomkick(${1:s_arg1}, ${2:s_arg2})$0
0	getwaitingroomusers	? arg1	getwaitingroomusers(${1:?_arg1})$0
0	kickwaitingroomall	? arg1	kickwaitingroomall(${1:?_arg1})$0
0	enablewaitingroomevent	? arg1	enablewaitingroomevent(${1:?_arg1})$0
0	disablewaitingroomevent	? arg1	disablewaitingroomevent(${1:?_arg1})$0
0	enablearena
0	disablearena
0	getwaitingroomstate	i arg1, ? arg2	getwaitingroomstate(${1:i_arg1}, ${2:?_arg2})$0
0	warpwaitingpc	s arg1, i arg2, i arg3, ? arg4	warpwaitingpc(${1:s_arg1}, ${2:i_arg2}, ${3:i_arg3}, ${4:?_arg4})$0
0	attachrid	i arg1, ? arg2	attachrid(${1:i_arg1}, ${2:?_arg2})$0
0	addrid	i arg1, ? arg2, ? arg3, ? arg4, ? arg5, ? arg6	addrid(${1:i_arg1}, ${2:?_arg2}, ${3:?_arg3}, ${4:?_arg4}, ${5:?_arg5}, ${6:?_arg6})$0
0	detachrid
0	isloggedin	i arg1, ? arg2	isloggedin(${1:i_arg1}, ${2:?_arg2})$0
0	setmapflagnosave	s arg1, s arg2, i arg3, i arg4	setmapflagnosave(${1:s_arg1}, ${2:s_arg2}, ${3:i_arg3}, ${4:i_arg4})$0
0	getmapflag	s arg1, i arg2, ? arg3	getmapflag(${1:s_arg1}, ${2:i_arg2}, ${3:?_arg3})$0
0	setmapflag	s arg1, i arg2, ? arg3, ? arg4	setmapflag(${1:s_arg1}, ${2:i_arg2}, ${3:?_arg3}, ${4:?_arg4})$0
0	removemapflag	s arg1, i arg2, ? arg3	removemapflag(${1:s_arg1}, ${2:i_arg2}, ${3:?_arg3})$0
0	pvpon	s arg1	pvpon(${1:s_arg1})$0
0	pvpoff	s arg1	pvpoff(${1:s_arg1})$0
0	gvgon	s arg1	gvgon(${1:s_arg1})$0
0	gvgoff	s arg1	gvgoff(${1:s_arg1})$0
0	emotion	i arg1, ? arg2	emotion(${1:i_arg1}, ${2:?_arg2})$0
0	maprespawnguildid	s arg1, i arg2, i arg3	maprespawnguildid(${1:s_arg1}, ${2:i_arg2}, ${3:i_arg3})$0
0	agitstart
0	agitend
0	agitcheck
0	flagemblem	i arg1	flagemblem(${1:i_arg1})$0
0	getcastlename	s arg1	getcastlename(${1:s_arg1})$0
0	getcastledata	s arg1, i arg2	getcastledata(${1:s_arg1}, ${2:i_arg2})$0
0	setcastledata	s arg1, i arg2, i arg3	setcastledata(${1:s_arg1}, ${2:i_arg2}, ${3:i_arg3})$0
0	requestguildinfo	i arg1, ? arg2	requestguildinfo(${1:i_arg1}, ${2:?_arg2})$0
0	getequipcardcnt	i arg1	getequipcardcnt(${1:i_arg1})$0
0	successremovecards	i arg1	successremovecards(${1:i_arg1})$0
